receiver_SN,SyncTime,Id
461215,2018-04-04 14:28:02.055366,46903
461214,2018-04-04 14:28:02.073990,46903
461207,2018-04-04 14:28:02.108505,46903
461209,2018-04-04 14:28:02.110668,46903
461059,2018-04-04 14:28:02.123397,46903
461211,2018-04-04 14:28:02.127732,46903
461214,2018-04-04 14:28:03.222162,46903
461207,2018-04-04 14:28:03.256662,46903
461209,2018-04-04 14:28:03.258791,46903
461059,2018-04-04 14:28:03.271591,46903
461212,2018-04-04 14:28:03.307811,46903
461214,2018-04-04 14:28:04.430287,46903
461212,2018-04-04 14:28:04.515921,46903
461214,2018-04-04 14:28:05.566329,46903
461207,2018-04-04 14:28:05.600826,46903
461209,2018-04-04 14:28:06.787190,46903
461211,2018-04-04 14:28:06.804107,46903
461218,2018-04-04 14:28:08.021538,46903
461218,2018-04-04 14:28:09.265694,46903
461207,2018-04-04 14:28:09.297339,46903
461218,2018-04-04 14:28:10.473748,46903
461215,2018-04-04 14:28:11.587568,46903
461218,2018-04-04 14:28:11.609767,46903
461211,2018-04-04 14:28:11.660079,46903
461215,2018-04-04 14:28:12.759711,46903
461214,2018-04-04 14:28:12.778454,46903
461218,2018-04-04 14:28:12.781857,46903
461210,2018-04-04 14:28:12.792047,46903
461209,2018-04-04 14:28:12.815175,46903
461059,2018-04-04 14:28:12.827865,46903
461218,2018-04-04 14:28:14.026059,46903
461209,2018-04-04 14:28:14.059139,46903
461215,2018-04-04 14:28:15.211830,46903
461218,2018-04-04 14:28:15.234052,46903
461215,2018-04-04 14:28:18.536045,46903
461218,2018-04-04 14:28:18.558293,46903
461209,2018-04-04 14:28:19.799449,46903
461211,2018-04-04 14:28:19.816602,46903
461212,2018-04-04 14:28:19.848490,46903
461218,2018-04-04 14:28:20.902303,46903
461218,2018-04-04 14:28:27.025781,46903
461215,2018-04-04 14:28:28.283334,46903
461218,2018-04-04 14:28:28.305765,46903
461218,2018-04-04 14:28:33.245632,46903
461210,2018-04-04 14:28:33.254965,46903
461215,2018-04-04 14:28:33.269114,46903
461214,2018-04-04 14:28:34.521899,46903
461218,2018-04-04 14:28:34.525569,46903
461215,2018-04-04 14:28:34.549060,46903
461215,2018-04-04 14:28:35.782406,46903
461214,2018-04-04 14:28:35.801709,46903
461218,2018-04-04 14:28:35.805507,46903
461218,2018-04-04 14:28:37.073390,46903
461215,2018-04-04 14:28:38.306210,46903
461218,2018-04-04 14:28:38.329647,46903
461218,2018-04-04 14:28:39.561809,46903
461218,2018-04-04 14:28:40.733915,46903
461210,2018-04-04 14:28:40.742145,46903
461059,2018-04-04 14:28:40.777999,46903
461218,2018-04-04 14:28:41.978269,46903
461210,2018-04-04 14:28:41.986206,46903
461218,2018-04-04 14:28:43.186324,46903
461207,2018-04-04 14:28:43.216376,46903
461059,2018-04-04 14:28:43.230789,46903
461211,2018-04-04 14:28:43.234980,46903
461212,2018-04-04 14:28:43.267004,46903
461218,2018-04-04 14:28:44.310288,46903
461209,2018-04-04 14:28:44.341856,46903
461059,2018-04-04 14:28:44.354858,46903
461211,2018-04-04 14:28:44.359064,46903
461212,2018-04-04 14:28:44.391099,46903
461215,2018-04-04 14:28:45.434984,46903
461214,2018-04-04 14:28:45.454451,46903
461218,2018-04-04 14:28:45.458467,46903
461059,2018-04-04 14:28:45.503112,46903
461215,2018-04-04 14:28:46.643091,46903
461214,2018-04-04 14:28:46.662423,46903
461218,2018-04-04 14:28:46.666385,46903
461215,2018-04-04 14:28:47.779132,46903
461214,2018-04-04 14:28:47.796252,46903
461207,2018-04-04 14:28:47.830808,46903
461059,2018-04-04 14:28:47.845153,46903
461215,2018-04-04 14:28:50.207906,46903
461218,2018-04-04 14:28:50.230246,46903
461218,2018-04-04 14:28:51.450233,46903
461207,2018-04-04 14:28:51.478509,46903
461212,2018-04-04 14:28:51.529051,46903
461218,2018-04-04 14:28:53.842278,46903
461215,2018-04-04 14:28:55.005713,46903
461218,2018-04-04 14:28:55.026209,46903
461218,2018-04-04 14:28:57.586039,46903
461210,2018-04-04 14:28:58.871787,46903
461218,2018-04-04 14:29:00.146189,46903
461210,2018-04-04 14:29:00.151767,46903
461218,2018-04-04 14:29:01.414469,46903
461215,2018-04-04 14:29:02.651299,46903
461215,2018-04-04 14:29:03.871722,46903
461215,2018-04-04 14:29:05.020198,46903
461218,2018-04-04 14:29:10.825931,46903
461210,2018-04-04 14:29:10.830437,46903
461218,2018-04-04 14:29:11.962072,46903
461210,2018-04-04 14:29:11.966435,46903
461209,2018-04-04 14:29:11.989336,46903
461215,2018-04-04 14:29:13.129846,46903
461210,2018-04-04 14:29:13.150591,46903
461207,2018-04-04 14:29:13.172652,46903
461209,2018-04-04 14:29:13.173393,46903
461059,2018-04-04 14:29:13.186401,46903
461211,2018-04-04 14:29:13.190619,46903
461208,2018-04-04 14:29:13.216969,46903
461209,2018-04-04 14:29:17.921693,46903
461059,2018-04-04 14:29:17.934646,46903
461211,2018-04-04 14:29:17.938848,46903
461208,2018-04-04 14:29:17.965092,46903
461212,2018-04-04 14:29:17.970897,46903
461214,2018-04-04 14:29:19.106456,46903
461218,2018-04-04 14:29:19.116619,46903
461210,2018-04-04 14:29:19.119815,46903
461207,2018-04-04 14:29:19.140759,46903
461209,2018-04-04 14:29:19.142082,46903
461214,2018-04-04 14:29:20.254660,46903
461207,2018-04-04 14:29:20.289007,46903
461059,2018-04-04 14:29:20.303253,46903
461211,2018-04-04 14:29:20.307576,46903
461208,2018-04-04 14:29:20.333653,46903
461212,2018-04-04 14:29:20.339477,46903
461214,2018-04-04 14:29:21.463012,46903
461207,2018-04-04 14:29:21.497314,46903
461214,2018-04-04 14:29:22.599329,46903
461207,2018-04-04 14:29:22.633706,46903
461059,2018-04-04 14:29:22.648040,46903
461215,2018-04-04 14:29:23.761545,46903
461214,2018-04-04 14:29:23.771703,46903
461210,2018-04-04 14:29:23.785438,46903
461207,2018-04-04 14:29:23.806093,46903
461211,2018-04-04 14:29:23.824833,46903
461208,2018-04-04 14:29:23.850880,46903
461212,2018-04-04 14:29:23.856704,46903
461218,2018-04-04 14:29:25.037416,46903
461210,2018-04-04 14:29:25.041706,46903
461209,2018-04-04 14:29:25.063910,46903
461218,2018-04-04 14:29:26.257814,46903
461210,2018-04-04 14:29:26.261918,46903
461218,2018-04-04 14:29:27.406085,46903
461210,2018-04-04 14:29:27.410032,46903
461218,2018-04-04 14:29:28.614170,46903
461218,2018-04-04 14:29:29.750280,46903
461218,2018-04-04 14:29:30.934379,46903
461218,2018-04-04 14:29:32.202445,46903
461215,2018-04-04 14:29:33.427856,46903
461218,2018-04-04 14:29:33.446556,46903
461215,2018-04-04 14:29:34.623970,46903
461218,2018-04-04 14:29:34.642495,46903
461215,2018-04-04 14:29:35.724168,46903
461215,2018-04-04 14:29:36.824411,46903
461218,2018-04-04 14:29:36.842283,46903
461214,2018-04-04 14:29:40.263113,46903
461218,2018-04-04 14:29:40.274446,46903
461218,2018-04-04 14:29:41.554613,46903
461209,2018-04-04 14:29:42.846534,46903
461059,2018-04-04 14:29:42.859252,46903
461212,2018-04-04 14:29:42.895478,46903
461207,2018-04-04 14:29:44.101043,46903
461059,2018-04-04 14:29:44.115371,46903
461211,2018-04-04 14:29:44.119675,46903
461209,2018-04-04 14:29:45.322895,46903
461059,2018-04-04 14:29:45.335632,46903
461211,2018-04-04 14:29:45.339983,46903
461212,2018-04-04 14:29:45.371845,46903
461210,2018-04-04 14:29:46.461562,46903
461209,2018-04-04 14:29:46.483103,46903
461211,2018-04-04 14:29:46.500001,46903
461212,2018-04-04 14:29:46.531890,46903
461210,2018-04-04 14:29:47.681927,46903
461059,2018-04-04 14:29:47.715866,46903
461211,2018-04-04 14:29:47.720277,46903
461208,2018-04-04 14:29:47.746191,46903
461212,2018-04-04 14:29:47.752053,46903
461218,2018-04-04 14:29:48.840949,46903
461210,2018-04-04 14:29:48.842171,46903
461209,2018-04-04 14:29:48.863425,46903
461059,2018-04-04 14:29:48.876052,46903
461211,2018-04-04 14:29:48.880402,46903
461212,2018-04-04 14:29:48.912204,46903
461218,2018-04-04 14:29:50.073340,46903
461210,2018-04-04 14:29:50.074422,46903
461209,2018-04-04 14:29:50.095502,46903
461212,2018-04-04 14:29:50.144254,46903
461218,2018-04-04 14:29:51.257637,46903
461210,2018-04-04 14:29:51.258562,46903
461211,2018-04-04 14:29:51.296571,46903
461212,2018-04-04 14:29:51.328269,46903
461210,2018-04-04 14:29:52.526595,46903
461218,2018-04-04 14:29:53.770226,46903
461210,2018-04-04 14:29:53.770565,46903
461059,2018-04-04 14:29:53.803833,46903
461215,2018-04-04 14:29:54.948895,46903
461218,2018-04-04 14:29:54.966501,46903
461210,2018-04-04 14:29:54.966638,46903
461207,2018-04-04 14:29:54.984895,46903
461209,2018-04-04 14:29:54.987342,46903
461059,2018-04-04 14:29:54.999725,46903
461211,2018-04-04 14:29:55.004211,46903
461212,2018-04-04 14:29:55.035939,46903
461210,2018-04-04 14:29:56.078788,46903
461207,2018-04-04 14:29:56.096889,46903
461209,2018-04-04 14:29:56.099393,46903
461059,2018-04-04 14:29:56.111724,46903
461211,2018-04-04 14:29:56.116226,46903
461212,2018-04-04 14:29:56.148010,46903
461214,2018-04-04 14:29:57.198261,46903
461207,2018-04-04 14:29:57.232777,46903
461209,2018-04-04 14:29:57.235401,46903
461059,2018-04-04 14:29:57.247695,46903
461211,2018-04-04 14:29:57.252212,46903
461212,2018-04-04 14:29:57.283915,46903
461215,2018-04-04 14:29:58.368904,46903
461214,2018-04-04 14:29:58.370389,46903
461207,2018-04-04 14:29:58.404875,46903
461209,2018-04-04 14:29:58.407618,46903
461059,2018-04-04 14:29:58.419891,46903
461211,2018-04-04 14:29:58.424392,46903
461212,2018-04-04 14:29:58.456089,46903
461214,2018-04-04 14:29:59.626473,46903
461207,2018-04-04 14:29:59.660987,46903
461209,2018-04-04 14:29:59.663819,46903
461059,2018-04-04 14:29:59.676040,46903
461211,2018-04-04 14:29:59.680602,46903
461214,2018-04-04 14:30:00.846636,46903
461210,2018-04-04 14:30:00.863825,46903
461207,2018-04-04 14:30:00.881088,46903
461209,2018-04-04 14:30:00.884055,46903
461211,2018-04-04 14:30:00.900817,46903
461212,2018-04-04 14:30:00.932472,46903
461215,2018-04-04 14:30:02.005663,46903
461214,2018-04-04 14:30:02.006756,46903
461210,2018-04-04 14:30:02.024131,46903
461207,2018-04-04 14:30:02.041223,46903
461209,2018-04-04 14:30:02.044278,46903
461059,2018-04-04 14:30:02.056427,46903
461211,2018-04-04 14:30:02.061003,46903
461208,2018-04-04 14:30:02.086569,46903
461212,2018-04-04 14:30:02.092623,46903
461214,2018-04-04 14:30:03.238974,46903
461210,2018-04-04 14:30:03.256534,46903
461207,2018-04-04 14:30:03.273486,46903
461209,2018-04-04 14:30:03.276585,46903
461059,2018-04-04 14:30:03.288742,46903
461211,2018-04-04 14:30:03.293318,46903
461208,2018-04-04 14:30:03.318899,46903
461212,2018-04-04 14:30:03.324962,46903
